Feature,DetectedType,Issue,Skewness,NOutliers,TreeHandling,LinearHandling,Risk
AL_39,prob_score,none,-0.06,0,no transform needed,leave,LOW
AL_40,prob_score,extreme_skew,13.55,200,no transform needed,leave,LOW
AL_41,prob_score,extreme_skew,-9.02,18,no transform needed,leave,LOW
AL_42,prob_score,none,0.01,0,no transform needed,leave,LOW
AL_43,prob_score,extreme_skew,13.54,192,no transform needed,leave,LOW
AL_44,prob_score,extreme_skew,-9.58,16,no transform needed,leave,LOW
AL_45,prob_score,none,0.08,0,no transform needed,leave,LOW
AL_46,prob_score,extreme_skew,11.79,200,no transform needed,leave,LOW
AL_47,prob_score,extreme_skew,-7.29,28,no transform needed,leave,LOW
AL_48,prob_score,none,-0.01,0,no transform needed,leave,LOW
AL_49,prob_score,extreme_skew,15.1,198,no transform needed,leave,LOW
AL_50,prob_score,many_outliers,-1.7,268,no transform needed,leave,LOW
AL_51,prob_score,none,-0.01,0,no transform needed,leave,LOW
AL_52,prob_score,extreme_skew,14.02,181,no transform needed,leave,LOW
AL_53,prob_score,many_outliers,-1.6,287,no transform needed,leave,LOW
AL_54,prob_score,none,0.01,0,no transform needed,leave,LOW
AL_55,prob_score,extreme_skew,14.21,197,no transform needed,leave,LOW
AL_56,prob_score,many_outliers,-2.79,142,no transform needed,leave,LOW
AL_57,prob_score,none,-0.03,0,no transform needed,leave,LOW
AL_58,prob_score,extreme_skew,13.66,186,no transform needed,leave,LOW
AL_59,prob_score,high_skew,-4.06,78,no transform needed,leave,LOW
AL_60,prob_score,none,-0.05,0,no transform needed,leave,LOW
AL_61,prob_score,extreme_skew,16.34,208,no transform needed,leave,LOW
AL_62,prob_score,extreme_skew,-5.97,40,no transform needed,leave,LOW
AL_63,prob_score,none,-0.13,0,no transform needed,leave,LOW
AL_64,prob_score,extreme_skew,14.92,185,no transform needed,leave,LOW
AL_65,prob_score,many_outliers,-2.93,132,no transform needed,leave,LOW
AL_66,prob_score,none,0.04,0,no transform needed,leave,LOW
AL_67,prob_score,extreme_skew,15.01,210,no transform needed,leave,LOW
AL_68,prob_score,many_outliers,-1.63,280,no transform needed,leave,LOW
AL_69,prob_score,none,-0.02,0,no transform needed,leave,LOW
AL_70,prob_score,extreme_skew,13.22,207,no transform needed,leave,LOW
AL_71,prob_score,many_outliers,-2.64,156,no transform needed,leave,LOW
AL_72,prob_score,none,-0.09,0,no transform needed,leave,LOW
AL_73,prob_score,extreme_skew,14.91,197,no transform needed,leave,LOW
AL_74,prob_score,high_skew,-3.81,87,no transform needed,leave,LOW
AL_75,prob_score,none,-0.02,0,no transform needed,leave,LOW
AL_76,prob_score,extreme_skew,11.07,144,no transform needed,leave,LOW
AL_77,prob_score,many_outliers,-1.22,287,no transform needed,leave,LOW
AL_78,prob_score,none,-0.13,0,no transform needed,leave,LOW
AL_79,prob_score,extreme_skew,13.85,151,no transform needed,leave,LOW
AL_80,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_81,prob_score,none,-0.07,0,no transform needed,leave,LOW
AL_82,prob_score,extreme_skew,14.64,172,no transform needed,leave,LOW
AL_83,prob_score,none,-1.14,0,no transform needed,leave,LOW
AL_84,prob_score,none,-0.1,0,no transform needed,leave,LOW
AL_85,prob_score,extreme_skew,13.73,156,no transform needed,leave,LOW
AL_86,prob_score,none,-0.28,0,no transform needed,leave,LOW
AL_87,prob_score,none,-0.15,0,no transform needed,leave,LOW
AL_88,prob_score,extreme_skew,13.6,163,no transform needed,leave,LOW
AL_89,prob_score,many_outliers,-2.33,145,no transform needed,leave,LOW
AL_90,prob_score,none,-0.19,0,no transform needed,leave,LOW
AL_91,prob_score,extreme_skew,14.31,157,no transform needed,leave,LOW
AL_92,prob_score,none,-0.97,0,no transform needed,leave,LOW
AL_93,prob_score,none,-0.09,0,no transform needed,leave,LOW
AL_94,prob_score,extreme_skew,10.13,125,no transform needed,leave,LOW
AL_95,prob_score,high_skew,-4.44,53,no transform needed,leave,LOW
AL_96,prob_score,none,0.06,0,no transform needed,leave,LOW
AL_97,prob_score,extreme_skew,12.56,154,no transform needed,leave,LOW
AL_98,prob_score,none,-0.27,0,no transform needed,leave,LOW
AL_99,prob_score,none,-0.01,0,no transform needed,leave,LOW
AL_100,prob_score,extreme_skew,11.84,181,no transform needed,leave,LOW
AL_101,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_102,prob_score,none,-0.13,0,no transform needed,leave,LOW
AL_103,prob_score,extreme_skew,14.65,187,no transform needed,leave,LOW
AL_104,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_105,prob_score,none,-0.02,0,no transform needed,leave,LOW
AL_106,prob_score,extreme_skew,13.56,208,no transform needed,leave,LOW
AL_107,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_108,prob_score,none,-0.08,0,no transform needed,leave,LOW
AL_109,prob_score,extreme_skew,13.35,208,no transform needed,leave,LOW
AL_110,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_111,prob_score,none,-0.15,0,no transform needed,leave,LOW
AL_112,prob_score,extreme_skew,15.2,166,no transform needed,leave,LOW
AL_113,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_114,prob_score,none,-0.06,0,no transform needed,leave,LOW
AL_115,prob_score,extreme_skew,14.09,206,no transform needed,leave,LOW
AL_116,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_117,prob_score,none,-0.04,0,no transform needed,leave,LOW
AL_118,prob_score,extreme_skew,15.79,209,no transform needed,leave,LOW
AL_119,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_120,prob_score,none,-0.07,0,no transform needed,leave,LOW
AL_121,prob_score,extreme_skew,14.45,192,no transform needed,leave,LOW
AL_122,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_123,prob_score,none,-0.1,0,no transform needed,leave,LOW
AL_124,prob_score,extreme_skew,12.33,186,no transform needed,leave,LOW
AL_125,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_126,prob_score,none,-0.17,0,no transform needed,leave,LOW
AL_127,prob_score,extreme_skew,15.95,200,no transform needed,leave,LOW
AL_128,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_129,prob_score,none,0.07,0,no transform needed,leave,LOW
AL_130,prob_score,extreme_skew,14.11,217,no transform needed,leave,LOW
AL_131,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_132,prob_score,none,-0.11,0,no transform needed,leave,LOW
AL_133,prob_score,extreme_skew,14.86,203,no transform needed,leave,LOW
AL_134,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_135,prob_score,none,-0.22,0,no transform needed,leave,LOW
AL_136,prob_score,extreme_skew,12.03,202,no transform needed,leave,LOW
AL_137,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_138,prob_score,none,-0.06,0,no transform needed,leave,LOW
AL_139,prob_score,extreme_skew,16.18,191,no transform needed,leave,LOW
AL_140,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_141,prob_score,none,-0.08,0,no transform needed,leave,LOW
AL_142,prob_score,extreme_skew,13.4,201,no transform needed,leave,LOW
AL_143,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_144,prob_score,none,-0.15,0,no transform needed,leave,LOW
AL_145,prob_score,extreme_skew,13.92,172,no transform needed,leave,LOW
AL_146,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_147,prob_score,none,-0.1,0,no transform needed,leave,LOW
AL_148,prob_score,extreme_skew,14.36,205,no transform needed,leave,LOW
AL_149,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_150,prob_score,none,-0.1,0,no transform needed,leave,LOW
AL_151,prob_score,extreme_skew,13.65,177,no transform needed,leave,LOW
AL_152,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_153,prob_score,none,-0.05,0,no transform needed,leave,LOW
AL_154,prob_score,extreme_skew,16.61,215,no transform needed,leave,LOW
AL_155,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_156,prob_score,none,-0.08,0,no transform needed,leave,LOW
AL_157,prob_score,extreme_skew,11.79,197,no transform needed,leave,LOW
AL_158,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_159,prob_score,none,-0.02,0,no transform needed,leave,LOW
AL_160,prob_score,extreme_skew,14.35,188,no transform needed,leave,LOW
AL_161,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_162,prob_score,none,-0.03,0,no transform needed,leave,LOW
AL_163,prob_score,extreme_skew,13.96,196,no transform needed,leave,LOW
AL_164,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_165,prob_score,none,-0.09,0,no transform needed,leave,LOW
AL_166,prob_score,extreme_skew,13.99,188,no transform needed,leave,LOW
AL_167,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_168,prob_score,none,-0.06,0,no transform needed,leave,LOW
AL_169,prob_score,extreme_skew,14.6,198,no transform needed,leave,LOW
AL_170,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_171,prob_score,none,-0.07,0,no transform needed,leave,LOW
AL_172,prob_score,extreme_skew,16.78,177,no transform needed,leave,LOW
AL_173,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_174,prob_score,none,-0.1,0,no transform needed,leave,LOW
AL_175,prob_score,extreme_skew,12.2,198,no transform needed,leave,LOW
AL_176,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_177,prob_score,none,-0.01,0,no transform needed,leave,LOW
AL_178,prob_score,extreme_skew,14.86,189,no transform needed,leave,LOW
AL_179,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_180,prob_score,none,-0.1,0,no transform needed,leave,LOW
AL_181,prob_score,extreme_skew,12.14,209,no transform needed,leave,LOW
AL_182,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_183,prob_score,none,-0.19,0,no transform needed,leave,LOW
AL_184,prob_score,extreme_skew,12.96,138,no transform needed,leave,LOW
AL_185,encoded_cat,none,0.0,0,no transform needed,one_hot,LOW
AL_186,prob_score,extreme_skew,11.95,219,no transform needed,leave,LOW
AL_187,prob_score,none,-0.12,0,no transform needed,leave,LOW
AL_188,prob_score,extreme_skew,13.79,135,no transform needed,leave,LOW
AL_189,prob_score,none,-0.08,0,no transform needed,leave,LOW
AL_190,prob_score,extreme_skew,10.9,135,no transform needed,leave,LOW
AL_191,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_192,prob_score,none,0.09,0,no transform needed,leave,LOW
AL_193,prob_score,none,-0.17,0,no transform needed,leave,LOW
AL_194,prob_score,extreme_skew,15.19,137,no transform needed,leave,LOW
AL_195,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_196,prob_score,none,-0.03,0,no transform needed,leave,LOW
AL_197,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_198,prob_score,none,-0.01,0,no transform needed,leave,LOW
AL_199,prob_score,extreme_skew,13.02,138,no transform needed,leave,LOW
AL_200,prob_score,extreme_skew,-32.26,1,no transform needed,leave,LOW
AL_201,prob_score,none,0.13,0,no transform needed,leave,LOW
AL_202,prob_score,none,-0.02,0,no transform needed,leave,LOW
AL_203,prob_score,extreme_skew,13.14,150,no transform needed,leave,LOW
AL_204,prob_score,extreme_skew,-32.26,1,no transform needed,leave,LOW
AL_205,prob_score,none,-0.01,0,no transform needed,leave,LOW
AL_206,prob_score,none,-0.16,0,no transform needed,leave,LOW
AL_207,prob_score,extreme_skew,13.0,140,no transform needed,leave,LOW
AL_208,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_209,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_210,prob_score,none,-0.11,0,no transform needed,leave,LOW
AL_211,prob_score,extreme_skew,13.19,146,no transform needed,leave,LOW
AL_212,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_213,prob_score,none,0.04,0,no transform needed,leave,LOW
AL_214,prob_score,none,-0.19,0,no transform needed,leave,LOW
AL_215,prob_score,extreme_skew,8.41,83,no transform needed,leave,LOW
AL_216,prob_score,extreme_skew,-27.42,1,no transform needed,leave,LOW
AL_217,prob_score,none,-0.03,0,no transform needed,leave,LOW
AL_218,prob_score,none,0.02,0,no transform needed,leave,LOW
AL_219,prob_score,extreme_skew,12.41,135,no transform needed,leave,LOW
AL_220,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_221,prob_score,none,-0.07,0,no transform needed,leave,LOW
AL_222,prob_score,none,-0.09,0,no transform needed,leave,LOW
AL_223,prob_score,none,-0.03,0,no transform needed,leave,LOW
AL_224,prob_score,extreme_skew,13.14,136,no transform needed,leave,LOW
AL_225,prob_score,none,-0.05,0,no transform needed,leave,LOW
AL_226,prob_score,extreme_skew,11.11,146,no transform needed,leave,LOW
AL_227,prob_score,extreme_skew,-32.26,1,no transform needed,leave,LOW
AL_228,prob_score,none,-0.05,0,no transform needed,leave,LOW
AL_229,prob_score,none,-0.05,0,no transform needed,leave,LOW
AL_230,prob_score,extreme_skew,15.32,124,no transform needed,leave,LOW
AL_231,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_232,prob_score,none,0.04,0,no transform needed,leave,LOW
AL_233,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_234,prob_score,none,-0.12,0,no transform needed,leave,LOW
AL_235,prob_score,extreme_skew,13.24,138,no transform needed,leave,LOW
AL_236,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_237,prob_score,none,-0.04,0,no transform needed,leave,LOW
AL_238,prob_score,none,0.03,0,no transform needed,leave,LOW
AL_239,prob_score,extreme_skew,12.82,126,no transform needed,leave,LOW
AL_240,prob_score,extreme_skew,-32.26,1,no transform needed,leave,LOW
AL_241,prob_score,none,-0.07,0,no transform needed,leave,LOW
AL_242,prob_score,none,0.01,0,no transform needed,leave,LOW
AL_243,prob_score,extreme_skew,12.82,149,no transform needed,leave,LOW
AL_244,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_245,prob_score,none,-0.06,0,no transform needed,leave,LOW
AL_246,prob_score,none,-0.0,0,no transform needed,leave,LOW
AL_247,prob_score,extreme_skew,12.82,136,no transform needed,leave,LOW
AL_248,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_249,prob_score,none,-0.05,0,no transform needed,leave,LOW
AL_250,prob_score,none,-0.22,0,no transform needed,leave,LOW
AL_251,prob_score,extreme_skew,9.5,113,no transform needed,leave,LOW
AL_252,prob_score,extreme_skew,-31.48,1,no transform needed,leave,LOW
AL_253,prob_score,none,0.01,0,no transform needed,leave,LOW
AL_254,prob_score,none,-0.05,0,no transform needed,leave,LOW
AL_255,prob_score,extreme_skew,11.99,140,no transform needed,leave,LOW
AL_256,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_257,prob_score,none,0.06,0,no transform needed,leave,LOW
AL_258,prob_score,none,0.04,0,no transform needed,leave,LOW
AL_259,prob_score,none,-0.14,0,no transform needed,leave,LOW
AL_260,prob_score,extreme_skew,13.19,124,no transform needed,leave,LOW
AL_261,prob_score,none,-0.01,0,no transform needed,leave,LOW
AL_262,prob_score,extreme_skew,10.77,150,no transform needed,leave,LOW
AL_263,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_264,prob_score,none,0.05,0,no transform needed,leave,LOW
AL_265,prob_score,none,-0.19,0,no transform needed,leave,LOW
AL_266,prob_score,extreme_skew,15.69,132,no transform needed,leave,LOW
AL_267,prob_score,extreme_skew,-32.26,1,no transform needed,leave,LOW
AL_268,prob_score,none,-0.09,0,no transform needed,leave,LOW
AL_269,prob_score,extreme_skew,-32.26,1,no transform needed,leave,LOW
AL_270,prob_score,none,-0.11,0,no transform needed,leave,LOW
AL_271,prob_score,extreme_skew,13.43,130,no transform needed,leave,LOW
AL_272,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_273,prob_score,none,0.15,0,no transform needed,leave,LOW
AL_274,prob_score,none,-0.23,0,no transform needed,leave,LOW
AL_275,prob_score,extreme_skew,13.37,164,no transform needed,leave,LOW
AL_276,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_277,prob_score,none,0.03,0,no transform needed,leave,LOW
AL_278,prob_score,none,-0.16,0,no transform needed,leave,LOW
AL_279,prob_score,extreme_skew,12.77,141,no transform needed,leave,LOW
AL_280,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_281,prob_score,none,0.01,0,no transform needed,leave,LOW
AL_282,prob_score,none,-0.18,0,no transform needed,leave,LOW
AL_283,prob_score,extreme_skew,12.85,144,no transform needed,leave,LOW
AL_284,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_285,prob_score,none,-0.05,0,no transform needed,leave,LOW
AL_286,prob_score,none,-0.23,0,no transform needed,leave,LOW
AL_287,prob_score,extreme_skew,9.61,128,no transform needed,leave,LOW
AL_288,prob_score,extreme_skew,-22.09,2,no transform needed,leave,LOW
AL_289,prob_score,none,0.02,0,no transform needed,leave,LOW
AL_290,prob_score,none,-0.05,0,no transform needed,leave,LOW
AL_291,prob_score,extreme_skew,12.28,127,no transform needed,leave,LOW
AL_292,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_293,prob_score,none,-0.06,0,no transform needed,leave,LOW
AL_294,prob_score,none,-0.03,0,no transform needed,leave,LOW
AL_295,prob_score,none,-0.05,0,no transform needed,leave,LOW
AL_296,prob_score,extreme_skew,14.72,199,no transform needed,leave,LOW
AL_297,prob_score,none,-0.15,0,no transform needed,leave,LOW
AL_298,prob_score,extreme_skew,12.13,212,no transform needed,leave,LOW
AL_299,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_300,prob_score,none,-0.02,0,no transform needed,leave,LOW
AL_301,prob_score,none,0.14,0,no transform needed,leave,LOW
AL_302,prob_score,extreme_skew,12.93,230,no transform needed,leave,LOW
AL_303,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_304,prob_score,none,0.51,0,no transform needed,leave,LOW
AL_305,prob_score,none,0.01,0,no transform needed,leave,LOW
AL_306,prob_score,extreme_skew,17.1,230,no transform needed,leave,LOW
AL_307,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_308,prob_score,none,-0.07,0,no transform needed,leave,LOW
AL_309,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_310,prob_score,none,-0.03,0,no transform needed,leave,LOW
AL_311,prob_score,extreme_skew,14.17,220,no transform needed,leave,LOW
AL_312,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_313,prob_score,none,-0.01,0,no transform needed,leave,LOW
AL_314,prob_score,none,-0.07,0,no transform needed,leave,LOW
AL_315,prob_score,extreme_skew,14.06,241,no transform needed,leave,LOW
AL_316,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_317,prob_score,none,-0.0,0,no transform needed,leave,LOW
AL_318,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_319,prob_score,extreme_skew,13.09,250,no transform needed,leave,LOW
AL_320,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_321,prob_score,none,0.08,0,no transform needed,leave,LOW
AL_322,prob_score,none,-0.04,0,no transform needed,leave,LOW
AL_323,prob_score,extreme_skew,14.09,198,no transform needed,leave,LOW
AL_324,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_325,prob_score,none,0.02,0,no transform needed,leave,LOW
AL_326,prob_score,none,-0.09,0,no transform needed,leave,LOW
AL_327,prob_score,extreme_skew,11.16,212,no transform needed,leave,LOW
AL_328,prob_score,many_outliers,-2.99,138,no transform needed,leave,LOW
AL_329,prob_score,none,-0.03,0,no transform needed,leave,LOW
AL_330,prob_score,none,-0.07,0,no transform needed,leave,LOW
AL_331,prob_score,extreme_skew,14.45,221,no transform needed,leave,LOW
AL_332,prob_score,none,0.0,0,no transform needed,leave,LOW
AL_333,prob_score,none,-0.03,0,no transform needed,leave,LOW
AL_334,prob_score,none,-0.01,0,no transform needed,leave,LOW
EK_1,continuous,none,-1.48,12,no transform needed,standard_scale,LOW
EK_2,continuous,high_skew,-3.25,142,no transform needed,robust_scale or quantile,LOW
EK_3,continuous,none,-2.25,60,no transform needed,standard_scale,LOW
EK_4,prob_score,many_outliers,-2.81,284,no transform needed,leave,LOW
EK_5,prob_score,many_outliers,-1.61,178,no transform needed,leave,LOW
EK_6,prob_score,high_skew,-3.0,241,no transform needed,leave,LOW
EK_7,continuous,none,-0.6,0,no transform needed,standard_scale,LOW
EK_8,continuous,extreme_skew,-6.58,216,no transform needed,robust_scale or quantile,LOW
EK_9,continuous,none,-1.29,4,no transform needed,standard_scale,LOW
